id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8541551,Basketball Cards 2024 Panini Prizm,LeBron James [Silver] #130,$20.02,$10.50,$24.09,$45.50,$56.94,$338.25,$440.00,$271.00,$300.00,,,$6.60,$21.99,$3.00,$11.99,$8.10,$26.99,,1095,,,,,2025-02-19
8558070,Basketball Cards 2024 Panini Prizm,Stephon Castle [Basketball] #234,$124.95,,$9.98,$53.50,$59.00,$71.04,$92.00,$57.00,$43.00,,,$68.50,$137.00,,,$2.80,$10.99,,4,,,,,2025-02-19
8549349,Basketball Cards 2024 Panini Prizm,Reed Sheppard [Silver] #268,$12.73,$5.45,$7.51,$22.00,$43.86,$205.63,$267.00,$165.00,$111.50,,,$3.50,$13.99,$1.20,$5.99,$1.70,$8.29,,903,,,,,2025-02-19
8541526,Basketball Cards 2024 Panini Prizm,LeBron James #130,$1.65,$7.50,$9.99,$21.32,$43.50,$77.50,$101.00,$15.00,$34.99,,,,$1.79,$1.70,$8.29,$2.80,$10.99,,798,,,,,2025-02-19
8548859,Basketball Cards 2024 Panini Prizm,Alexandre Sarr [Silver] #264,$12.86,$3.81,$6.93,$20.50,$25.00,$170.00,$221.00,$136.00,$29.80,,,$3.50,$13.99,$0.80,$4.19,$1.50,$7.59,,716,,,,,2025-02-19
8548367,Basketball Cards 2024 Panini Prizm,Matas Buzelis [Silver] #252,$21.96,$7.51,$17.00,$26.00,$40.00,$306.35,$398.00,$245.00,$184.00,,,$7.20,$23.99,$1.70,$8.29,$4.80,$18.99,,692,,,,,2025-02-19
8530544,Basketball Cards 2024 Panini Prizm,Blaster Box,$23.97,,,,,,,,,,,$7.80,$25.99,,,,,,590,,,,,2025-02-19
8557141,Basketball Cards 2024 Panini Prizm,Ajay Mitchell [Silver] #226,$9.40,$5.18,$13.71,$15.00,$22.68,$31.00,$40.00,$25.00,$19.00,,,$2.00,$9.99,$1.10,$5.69,$3.80,$14.99,,569,,,,,2025-02-19
8547645,Basketball Cards 2024 Panini Prizm,Stephon Castle [Black Gold] #234,,,,,,,,,,,,,,,,,,,0,,,,,2025-02-19
8557289,Basketball Cards 2024 Panini Prizm,Zaccharie Risacher [Silver] #265,$4.75,$4.80,$7.01,$12.76,$27.76,$102.00,$133.00,$34.33,$61.00,,,$1.00,$5.19,$1.10,$5.29,$1.50,$7.69,,527,,,,,2025-02-19
