category,url,console_uid,slug,page_name,csv_url
Basketball,https://www.sportscardspro.com/console/basketball-cards-1948-bowman,G1096,basketball-cards-1948-bowman,1948 Bowman Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G1096
Basketball,https://www.sportscardspro.com/console/basketball-cards-1996-bowman%27s-best,G259,basketball-cards-1996-bowman%27s-best,1996 Bowman'S Best Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G259
Basketball,https://www.sportscardspro.com/console/basketball-cards-1996-bowman%27s-best-cuts,G72565,basketball-cards-1996-bowman%27s-best-cuts,1996 Bowman'S Best Cuts Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G72565
Basketball,https://www.sportscardspro.com/console/basketball-cards-1996-bowman%27s-best-picks,G678,basketball-cards-1996-bowman%27s-best-picks,1996 Bowman'S Best Picks Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G678
Basketball,https://www.sportscardspro.com/console/basketball-cards-1996-bowman%27s-best-retro,G680,basketball-cards-1996-bowman%27s-best-retro,1996 Bowman'S Best Retro Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G680
Basketball,https://www.sportscardspro.com/console/basketball-cards-1996-bowman%27s-best-rookie,G258,basketball-cards-1996-bowman%27s-best-rookie,1996 Bowman'S Best Rookie Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G258
Basketball,https://www.sportscardspro.com/console/basketball-cards-1996-bowman%27s-best-shots,G257,basketball-cards-1996-bowman%27s-best-shots,1996 Bowman'S Best Shots Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G257
Basketball,https://www.sportscardspro.com/console/basketball-cards-1997-bowman%27s-best,G300,basketball-cards-1997-bowman%27s-best,1997 Bowman'S Best Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G300
Basketball,https://www.sportscardspro.com/console/basketball-cards-1997-bowman%27s-best-mirror-image,G885,basketball-cards-1997-bowman%27s-best-mirror-image,1997 Bowman'S Best Mirror Image Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G885
Basketball,https://www.sportscardspro.com/console/basketball-cards-1997-bowman%27s-best-preview,G886,basketball-cards-1997-bowman%27s-best-preview,1997 Bowman'S Best Preview Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G886
Basketball,https://www.sportscardspro.com/console/basketball-cards-1997-bowman%27s-best-techniques,G887,basketball-cards-1997-bowman%27s-best-techniques,1997 Bowman'S Best Techniques Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G887
Basketball,https://www.sportscardspro.com/console/basketball-cards-1998-bowman%27s-best,G1099,basketball-cards-1998-bowman%27s-best,1998 Bowman'S Best Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G1099
Basketball,https://www.sportscardspro.com/console/basketball-cards-1998-bowman%27s-best-mirror-image-fusion,G1104,basketball-cards-1998-bowman%27s-best-mirror-image-fusion,1998 Bowman'S Best Mirror Image Fusion Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G1104
Basketball,https://www.sportscardspro.com/console/basketball-cards-1998-bowman%27s-best-performers,G1105,basketball-cards-1998-bowman%27s-best-performers,1998 Bowman'S Best Performers Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G1105
Basketball,https://www.sportscardspro.com/console/basketball-cards-1999-bowman%27s-best,G1305,basketball-cards-1999-bowman%27s-best,1999 Bowman'S Best Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G1305
Basketball,https://www.sportscardspro.com/console/basketball-cards-2000-bowman%27s-best,G25459,basketball-cards-2000-bowman%27s-best,2000 Bowman'S Best Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25459
Basketball,https://www.sportscardspro.com/console/basketball-cards-2002-bowman-signature-edition,G59962,basketball-cards-2002-bowman-signature-edition,2002 Bowman Signature Edition Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G59962
Basketball,https://www.sportscardspro.com/console/basketball-cards-2003-bowman,G5869,basketball-cards-2003-bowman,2003 Bowman Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5869
Basketball,https://www.sportscardspro.com/console/basketball-cards-2003-bowman-chrome,G71875,basketball-cards-2003-bowman-chrome,2003 Bowman Chrome Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G71875
Basketball,https://www.sportscardspro.com/console/basketball-cards-2003-bowman-signature,G5875,basketball-cards-2003-bowman-signature,2003 Bowman Signature Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5875
Basketball,https://www.sportscardspro.com/console/basketball-cards-2004-bowman,G5592,basketball-cards-2004-bowman,2004 Bowman Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5592
Basketball,https://www.sportscardspro.com/console/basketball-cards-2005-bowman,G5349,basketball-cards-2005-bowman,2005 Bowman Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5349
Basketball,https://www.sportscardspro.com/console/basketball-cards-2005-bowman-draft-picks-&-prospects-signs-of-the-future,G5351,basketball-cards-2005-bowman-draft-picks-&-prospects-signs-of-the-future,2005 Bowman Draft Picks & Prospects Signs Of The Future Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5351
Basketball,https://www.sportscardspro.com/console/basketball-cards-2006-bowman,G5212,basketball-cards-2006-bowman,2006 Bowman Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5212
Basketball,https://www.sportscardspro.com/console/basketball-cards-2006-bowman-chrome,G5213,basketball-cards-2006-bowman-chrome,2006 Bowman Chrome Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5213
Basketball,https://www.sportscardspro.com/console/basketball-cards-2006-bowman-elevation,G5215,basketball-cards-2006-bowman-elevation,2006 Bowman Elevation Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5215
Basketball,https://www.sportscardspro.com/console/basketball-cards-2006-bowman-sterling,G5229,basketball-cards-2006-bowman-sterling,2006 Bowman Sterling Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5229
Basketball,https://www.sportscardspro.com/console/basketball-cards-2007-bowman,G4989,basketball-cards-2007-bowman,2007 Bowman Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G4989
Basketball,https://www.sportscardspro.com/console/basketball-cards-2007-bowman-chrome,G4990,basketball-cards-2007-bowman-chrome,2007 Bowman Chrome Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G4990
Basketball,https://www.sportscardspro.com/console/basketball-cards-2007-bowman-elevation,G4991,basketball-cards-2007-bowman-elevation,2007 Bowman Elevation Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G4991
Basketball,https://www.sportscardspro.com/console/basketball-cards-2007-bowman-sterling,G5000,basketball-cards-2007-bowman-sterling,2007 Bowman Sterling Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G5000
