id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10818644,Basketball Cards 2025 Topps,AJ Green #57,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10822932,Basketball Cards 2025 Topps,AJ Green [Black Crackleboard] #57,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10822855,Basketball Cards 2025 Topps,AJ Green [Black Diamante] #57,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
11547525,Basketball Cards 2025 Topps,AJ Green [Black Friday Shimmer] #57,$0.01,,,,,,,,,,,,$0.99,,,,,,1,,,,,2025-10-23
10822791,Basketball Cards 2025 Topps,AJ Green [Black Rainbow] #57,$13.00,,,,,,,,,,,$3.50,$13.99,,,,,,1,,,,,2025-10-23
10822765,Basketball Cards 2025 Topps,AJ Green [Black] #57,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10818646,Basketball Cards 2025 Topps,AJ Green [Blackout] #57,$1.69,,$6.25,$12.19,$24.15,$36.38,$47.00,$29.00,$22.00,,,,$1.89,,,$1.40,$6.89,,117,,,,,2025-10-23
10822749,Basketball Cards 2025 Topps,AJ Green [Blue Rainbow] #57,$9.49,,$13.61,$25.06,$48.60,$73.96,$96.00,$59.00,$44.00,,,$2.00,$9.99,,,$3.80,$14.99,,9,,,,,2025-10-23
10822714,Basketball Cards 2025 Topps,AJ Green [Blue Sandglitter] #57,$3.49,,$8.16,$15.53,$30.50,$46.12,$60.00,$37.00,$28.00,,,$0.80,$3.79,,,$1.80,$8.99,,8,,,,,2025-10-23
11327663,Basketball Cards 2025 Topps,AJ Green [Cart Load] #57,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10818648,Basketball Cards 2025 Topps,AJ Green [Clear] #57,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10822908,Basketball Cards 2025 Topps,AJ Green [Crackleboard] #57,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
11327725,Basketball Cards 2025 Topps,AJ Green [Cyber Circuit] #57,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10822819,Basketball Cards 2025 Topps,AJ Green [Diamante] #57,$1.99,,$6.81,$13.16,$26.00,$39.22,$51.00,$31.00,$24.00,,,,$2.19,,,$1.50,$7.49,,23,,,,,2025-10-23
