spc_id,gemrate_id,console_name,player_name,parallel,card_number,card_description,loose_price,graded_price,manual_only_price,bgs_10_price,sales_volume,spc_date,gem_rate_all_time,gem_rate_past_month,total_graded,total_gems,graded_past_month,graded_prior_month,momentum_30d,last_gem_date,last_graded_date,pct_psa_10,pct_psa_9,pct_psa_8,pct_psa_7,pct_psa_6,pct_psa_5,pct_psa_4,pct_psa_3,cardladder_all_graded_url,gemrate_url,psa_cert_url
8551883,e8cdad6ca9ff312c8c524ad4845d6d984455dbe1,Basketball Cards 2024 Panini Prizm,Stephon Castle,Silver Prizm,234,Stephon Castle Silver Prizm 234,$33.96,$45.56,$399.50,$519.00,983,2025-02-19,25%,27%,"1,753",434,91,112,-19%,2026-03-02,2026-03-02,25%,56%,14%,3%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=e8cdad6ca9ff312c8c524ad4845d6d984455dbe1,https://www.gemrate.com/universal-search?gemrate_id=e8cdad6ca9ff312c8c524ad4845d6d984455dbe1,https://www.psacard.com/cert/143574312/psa
8548367,11c3af2d38f0e56c7ef4b8860c8ff6e2e48e82a6,Basketball Cards 2024 Panini Prizm,Matas Buzelis,Silver Prizm,252,Matas Buzelis Silver Prizm 252,$21.96,$26.00,$306.35,$398.00,692,2025-02-19,25%,24%,"1,257",314,92,120,-23%,2026-03-02,2026-03-02,25%,53%,17%,3%,1%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=11c3af2d38f0e56c7ef4b8860c8ff6e2e48e82a6,https://www.gemrate.com/universal-search?gemrate_id=11c3af2d38f0e56c7ef4b8860c8ff6e2e48e82a6,https://www.psacard.com/cert/141885479/psa
8541551,c279437790b6984bbe1eea5a8ff9863da6cef7a6,Basketball Cards 2024 Panini Prizm,LeBron James,Silver Prizm,130,LeBron James Silver Prizm 130,$20.02,$45.50,$338.25,$440.00,1095,2025-02-19,19%,15%,"1,034",199,93,80,16%,2026-02-28,2026-03-02,19%,55%,17%,6%,3%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=c279437790b6984bbe1eea5a8ff9863da6cef7a6,https://www.gemrate.com/universal-search?gemrate_id=c279437790b6984bbe1eea5a8ff9863da6cef7a6,https://www.psacard.com/cert/143803553/psa
8547086,92fd103daa91811677411d0a1a0795f8571518cf,Basketball Cards 2024 Panini Prizm,Jared McCain,Silver Prizm,222,Jared McCain Silver Prizm 222,$5.25,$11.25,$103.43,$134.00,457,2025-02-19,21%,9%,946,199,45,77,-42%,2026-02-20,2026-03-02,21%,53%,20%,4%,2%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=92fd103daa91811677411d0a1a0795f8571518cf,https://www.gemrate.com/universal-search?gemrate_id=92fd103daa91811677411d0a1a0795f8571518cf,https://www.psacard.com/cert/142997362/psa
8547612,91ff5ea7dc315f9901350be6e336c905d8d9e7ce,Basketball Cards 2024 Panini Prizm,Stephon Castle,Pink Ice,234,Stephon Castle Pink Ice 234,$9.83,$26.35,$129.00,$168.00,562,2025-02-19,28%,19%,721,202,47,46,2%,2026-02-26,2026-02-27,28%,44%,19%,5%,3%,0%,0%,0%,https://app.cardladder.com/search?gemRateId=91ff5ea7dc315f9901350be6e336c905d8d9e7ce,https://www.gemrate.com/universal-search?gemrate_id=91ff5ea7dc315f9901350be6e336c905d8d9e7ce,https://www.psacard.com/cert/145029726/psa
8557289,09b2896391d6bbe6c5338ce44b2a99454f6ccebb,Basketball Cards 2024 Panini Prizm,Zaccharie Risacher,Silver Prizm,265,Zaccharie Risacher Silver Prizm 265,$4.75,$12.76,$102.00,$133.00,527,2025-02-19,22%,16%,718,156,45,38,18%,2026-02-27,2026-02-27,22%,58%,13%,3%,2%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=09b2896391d6bbe6c5338ce44b2a99454f6ccebb,https://www.gemrate.com/universal-search?gemrate_id=09b2896391d6bbe6c5338ce44b2a99454f6ccebb,https://www.psacard.com/cert/142997501/psa
8553533,b2066ecdb9d5d54a5b0e4b17353aad07a5572b94,Basketball Cards 2024 Panini Prizm,Stephon Castle,Base,234,Stephon Castle Base 234,$1.58,$17.23,$65.47,$85.00,487,2025-02-19,31%,36%,677,208,39,27,44%,2026-03-02,2026-03-02,31%,42%,12%,7%,5%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=b2066ecdb9d5d54a5b0e4b17353aad07a5572b94,https://www.gemrate.com/universal-search?gemrate_id=b2066ecdb9d5d54a5b0e4b17353aad07a5572b94,https://www.psacard.com/cert/142874327/psa
8549349,2b24acf6575e403c9c283e175b9218a02d6aa8be,Basketball Cards 2024 Panini Prizm,Reed Sheppard,Silver Prizm,268,Reed Sheppard Silver Prizm 268,$12.73,$22.00,$205.63,$267.00,903,2025-02-19,18%,14%,526,95,44,48,-8%,2026-02-25,2026-03-02,18%,57%,17%,3%,2%,1%,1%,0%,https://app.cardladder.com/search?gemRateId=2b24acf6575e403c9c283e175b9218a02d6aa8be,https://www.gemrate.com/universal-search?gemrate_id=2b24acf6575e403c9c283e175b9218a02d6aa8be,https://www.psacard.com/cert/142592950/psa
8547991,3058a990d89b12f4a018cb57ba88e7902879ef8d,Basketball Cards 2024 Panini Prizm,Bronny James Jr.,Silver Prizm,243,Bronny James Jr. Silver Prizm 243,$4.12,$12.55,$79.90,$104.00,262,2025-02-19,19%,25%,475,92,16,19,-16%,2026-02-27,2026-03-02,19%,57%,17%,4%,2%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=3058a990d89b12f4a018cb57ba88e7902879ef8d,https://www.gemrate.com/universal-search?gemrate_id=3058a990d89b12f4a018cb57ba88e7902879ef8d,https://www.psacard.com/cert/139192805/psa
8548859,d2a9ea9cfa84f98b4bbf8e598be932346c5b5e53,Basketball Cards 2024 Panini Prizm,Alexandre Sarr,Silver Prizm,264,Alexandre Sarr Silver Prizm 264,$12.86,$20.50,$170.00,$221.00,716,2025-02-19,20%,6%,435,87,36,39,-8%,2026-02-20,2026-02-27,20%,48%,19%,7%,4%,1%,0%,0%,https://app.cardladder.com/search?gemRateId=d2a9ea9cfa84f98b4bbf8e598be932346c5b5e53,https://www.gemrate.com/universal-search?gemrate_id=d2a9ea9cfa84f98b4bbf8e598be932346c5b5e53,https://www.psacard.com/cert/142997502/psa
