1,2,3,4,5,6,7,8,9,10,Gemrate_id,Universal_gemrate_id,Name,Parallel,Card #,Card Description,Gems,Total,Gem Rate - All Time,Gem Rate - Past Month,Graded Past Month,Graded Prior Month,30 Day Momentum,1 Year Trend,All PSA Graded,PSA 10s,All Graded Sales,Recent Cert,Universal Pop,Last Gem,Last Graded,Dual Grades,Dual Grade %,Detailed Trend,A,% Distribution
0%,0%,0%,0%,0%,2%,1%,19%,58%,21%,e2e95c18426d16e432f94889084c86eedd97459f,e2e95c18426d16e432f94889084c86eedd97459f,Stephon Castle,Variation-Fast Break,234,Stephon Castle Variation-Fast Break 234,21,102,21%,0%,6,2,200%,"0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 4, 5, 10, 13, 15, 18, 20, 28, 33, 41, 43, 45, 48, 49, 53, 55, 61, 68, 71, 73, 75, 81, 82, 84, 85, 87, 87, 89, 90, 91, 92, 94, 95, 96, 96, 96, 98, 99, 101, 102",https://app.cardladder.com/search?gemRateId=e2e95c18426d16e432f94889084c86eedd97459f,https://app.cardladder.com/search?gemRateId=e2e95c18426d16e432f94889084c86eedd97459f,https://app.cardladder.com/search?gemRateId=e2e95c18426d16e432f94889084c86eedd97459f,https://www.psacard.com/cert/132241150/psa,https://www.gemrate.com/universal-search?gemrate_id=e2e95c18426d16e432f94889084c86eedd97459f,2025-12-23,2026-03-02,0,0%,,0%,"0, 0, 0, 0, 0, 0, 2, 1, 18.6, 57.8, 20.6"
0%,0%,0%,0%,0%,0%,0%,10%,58%,31%,64765a905c1a0fcf3cb9b7cfbf448686d495d55d,64765a905c1a0fcf3cb9b7cfbf448686d495d55d,Matas Buzelis,Variation-Fast Break,252,Matas Buzelis Variation-Fast Break 252,26,83,31%,0%,2,7,-71%,"0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 5, 5, 9, 9, 13, 14, 17, 23, 26, 33, 33, 33, 38, 40, 43, 45, 45, 46, 48, 49, 51, 59, 61, 66, 68, 69, 69, 70, 71, 72, 72, 74, 76, 77, 80, 81, 82, 82, 82, 83",https://app.cardladder.com/search?gemRateId=64765a905c1a0fcf3cb9b7cfbf448686d495d55d,https://app.cardladder.com/search?gemRateId=64765a905c1a0fcf3cb9b7cfbf448686d495d55d,https://app.cardladder.com/search?gemRateId=64765a905c1a0fcf3cb9b7cfbf448686d495d55d,https://www.psacard.com/cert/139246064/psa,https://www.gemrate.com/universal-search?gemrate_id=64765a905c1a0fcf3cb9b7cfbf448686d495d55d,2026-01-22,2026-02-24,0,0%,,0%,"0, 0, 0, 0, 0, 0, 0, 0, 9.6, 57.8, 31.3"
0%,0%,0%,0%,0%,0%,2%,19%,48%,29%,afe51db0fabd23fcdf97ff8c24c6dd54c0cec8aa,afe51db0fabd23fcdf97ff8c24c6dd54c0cec8aa,Jared McCain,Variation-Fast Break,222,Jared McCain Variation-Fast Break 222,18,62,29%,25%,4,3,33%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 7, 11, 13, 15, 18, 18, 20, 21, 23, 24, 25, 27, 27, 30, 31, 32, 35, 41, 41, 42, 43, 45, 50, 53, 53, 54, 54, 54, 55, 55, 55, 55, 56, 57, 58, 58, 59, 59, 61, 62",https://app.cardladder.com/search?gemRateId=afe51db0fabd23fcdf97ff8c24c6dd54c0cec8aa,https://app.cardladder.com/search?gemRateId=afe51db0fabd23fcdf97ff8c24c6dd54c0cec8aa,https://app.cardladder.com/search?gemRateId=afe51db0fabd23fcdf97ff8c24c6dd54c0cec8aa,https://www.psacard.com/cert/133714823/psa,https://www.gemrate.com/universal-search?gemrate_id=afe51db0fabd23fcdf97ff8c24c6dd54c0cec8aa,2026-02-03,2026-02-24,0,0%,,0%,"0, 0, 0, 0, 0, 0, 0, 1.6, 19.4, 48.4, 29"
0%,0%,0%,0%,0%,0%,2%,19%,48%,31%,d2037b4fa172592bdbf081fb8064a605c44711d6,d2037b4fa172592bdbf081fb8064a605c44711d6,Zaccharie Risacher,Variation-Fast Break,265,Zaccharie Risacher Variation-Fast Break 265,17,54,31%,50%,2,1,100%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 4, 5, 5, 8, 10, 12, 16, 20, 24, 26, 26, 28, 31, 31, 32, 33, 37, 38, 40, 40, 42, 43, 46, 46, 47, 47, 49, 50, 51, 51, 51, 51, 51, 52, 52, 53, 54, 54, 54",https://app.cardladder.com/search?gemRateId=d2037b4fa172592bdbf081fb8064a605c44711d6,https://app.cardladder.com/search?gemRateId=d2037b4fa172592bdbf081fb8064a605c44711d6,https://app.cardladder.com/search?gemRateId=d2037b4fa172592bdbf081fb8064a605c44711d6,https://www.psacard.com/cert/127529507/psa,https://www.gemrate.com/universal-search?gemrate_id=d2037b4fa172592bdbf081fb8064a605c44711d6,2026-02-03,2026-02-14,0,0%,,0%,"0, 0, 0, 0, 0, 0, 0, 1.9, 18.5, 48.1, 31.5"
0%,0%,0%,0%,2%,0%,4%,16%,67%,12%,9fefdc03752061c5ba2a5441411fccf4084d94c1,9fefdc03752061c5ba2a5441411fccf4084d94c1,Bronny James Jr.,Variation-Fast Break,243,Bronny James Jr. Variation-Fast Break 243,6,51,12%,,0,5,-100%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 5, 6, 8, 9, 11, 13, 13, 14, 16, 19, 21, 23, 27, 28, 28, 33, 33, 33, 34, 35, 35, 36, 38, 40, 42, 43, 43, 44, 45, 46, 46, 46, 46, 47, 51, 51, 51, 51, 51, 51",https://app.cardladder.com/search?gemRateId=9fefdc03752061c5ba2a5441411fccf4084d94c1,https://app.cardladder.com/search?gemRateId=9fefdc03752061c5ba2a5441411fccf4084d94c1,https://app.cardladder.com/search?gemRateId=9fefdc03752061c5ba2a5441411fccf4084d94c1,https://www.psacard.com/cert/128122419/psa,https://www.gemrate.com/universal-search?gemrate_id=9fefdc03752061c5ba2a5441411fccf4084d94c1,2025-12-12,2026-01-26,0,0%,,0%,"0, 0, 0, 0, 0, 2, 0, 3.9, 15.7, 66.7, 11.8"
0%,0%,0%,0%,0%,0%,0%,10%,62%,28%,fda8ec30f208417f620d37defd8ff57a26480a2c,fda8ec30f208417f620d37defd8ff57a26480a2c,Alexandre Sarr,Variation-Fast Break,264,Alexandre Sarr Variation-Fast Break 264,14,50,28%,50%,2,2,0%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 8, 8, 10, 14, 14, 15, 18, 18, 18, 19, 25, 28, 30, 31, 34, 36, 37, 37, 39, 39, 41, 42, 43, 44, 45, 45, 45, 46, 46, 46, 46, 48, 48, 49, 50, 50, 50",https://app.cardladder.com/search?gemRateId=fda8ec30f208417f620d37defd8ff57a26480a2c,https://app.cardladder.com/search?gemRateId=fda8ec30f208417f620d37defd8ff57a26480a2c,https://app.cardladder.com/search?gemRateId=fda8ec30f208417f620d37defd8ff57a26480a2c,https://www.psacard.com/cert/139040448/psa,https://www.gemrate.com/universal-search?gemrate_id=fda8ec30f208417f620d37defd8ff57a26480a2c,2026-02-13,2026-02-13,0,0%,,0%,"0, 0, 0, 0, 0, 0, 0, 0, 10, 62, 28"
0%,0%,0%,0%,0%,5%,3%,8%,54%,30%,be8c520a6b4a1ee436e90d98381b3103f9ce8509,be8c520a6b4a1ee436e90d98381b3103f9ce8509,Dalton Knecht,Variation-Fast Break,238,Dalton Knecht Variation-Fast Break 238,11,37,30%,,0,0,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 7, 10, 10, 11, 13, 13, 15, 15, 17, 19, 19, 20, 22, 22, 22, 23, 25, 25, 25, 26, 29, 29, 32, 32, 35, 35, 35, 35, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37",https://app.cardladder.com/search?gemRateId=be8c520a6b4a1ee436e90d98381b3103f9ce8509,https://app.cardladder.com/search?gemRateId=be8c520a6b4a1ee436e90d98381b3103f9ce8509,https://app.cardladder.com/search?gemRateId=be8c520a6b4a1ee436e90d98381b3103f9ce8509,https://www.psacard.com/cert/128157632/psa,https://www.gemrate.com/universal-search?gemrate_id=be8c520a6b4a1ee436e90d98381b3103f9ce8509,2025-11-18,2026-01-22,0,0%,,0%,"0, 0, 0, 0, 0, 0, 5.4, 2.7, 8.1, 54.1, 29.7"
0%,0%,0%,0%,0%,0%,0%,19%,59%,22%,41cdec919bc4891cc1785bf3daf47a8ac16de236,41cdec919bc4891cc1785bf3daf47a8ac16de236,Reed Sheppard,Variation-Fast Break,268,Reed Sheppard Variation-Fast Break 268,8,37,22%,33%,3,1,200%,"0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 4, 5, 5, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 19, 20, 21, 22, 24, 24, 24, 25, 26, 26, 30, 30, 32, 32, 32, 32, 33, 33, 33, 33, 33, 33, 34, 34, 35, 36, 37",https://app.cardladder.com/search?gemRateId=41cdec919bc4891cc1785bf3daf47a8ac16de236,https://app.cardladder.com/search?gemRateId=41cdec919bc4891cc1785bf3daf47a8ac16de236,https://app.cardladder.com/search?gemRateId=41cdec919bc4891cc1785bf3daf47a8ac16de236,https://www.psacard.com/cert/121923184/psa,https://www.gemrate.com/universal-search?gemrate_id=41cdec919bc4891cc1785bf3daf47a8ac16de236,2026-02-28,2026-02-28,0,0%,,0%,"0, 0, 0, 0, 0, 0, 0, 0, 18.9, 59.5, 21.6"
0%,0%,0%,0%,0%,4%,4%,15%,54%,19%,abdd5e5bb69193aee744eee0c41b5020b1e17ef6,abdd5e5bb69193aee744eee0c41b5020b1e17ef6,Rob Dillingham,Variation-Fast Break,250,Rob Dillingham Variation-Fast Break 250,5,26,19%,,0,0,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6, 7, 8, 8, 8, 8, 10, 10, 11, 14, 15, 15, 16, 20, 20, 20, 20, 20, 22, 22, 23, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26",https://app.cardladder.com/search?gemRateId=abdd5e5bb69193aee744eee0c41b5020b1e17ef6,https://app.cardladder.com/search?gemRateId=abdd5e5bb69193aee744eee0c41b5020b1e17ef6,https://app.cardladder.com/search?gemRateId=abdd5e5bb69193aee744eee0c41b5020b1e17ef6,https://www.psacard.com/cert/120676806/psa,https://www.gemrate.com/universal-search?gemrate_id=abdd5e5bb69193aee744eee0c41b5020b1e17ef6,2025-10-03,2026-01-22,1,4%,,4%,"3.8, 0, 0, 0, 0, 0, 3.8, 3.8, 15.4, 53.8, 19.2"
0%,0%,0%,0%,0%,0%,0%,4%,58%,38%,b46237ec80b38aa2dbaf9a4a610730d2388efdf5,b46237ec80b38aa2dbaf9a4a610730d2388efdf5,Zach Edey,Variation-Fast Break,249,Zach Edey Variation-Fast Break 249,9,24,38%,,0,1,-100%,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 6, 7, 9, 9, 11, 11, 11, 11, 15, 16, 16, 18, 18, 20, 20, 20, 20, 21, 21, 21, 21, 22, 22, 22, 22, 23, 23, 24, 24, 24, 24, 24, 24, 24, 24",https://app.cardladder.com/search?gemRateId=b46237ec80b38aa2dbaf9a4a610730d2388efdf5,https://app.cardladder.com/search?gemRateId=b46237ec80b38aa2dbaf9a4a610730d2388efdf5,https://app.cardladder.com/search?gemRateId=b46237ec80b38aa2dbaf9a4a610730d2388efdf5,https://www.psacard.com/cert/120445627/psa,https://www.gemrate.com/universal-search?gemrate_id=b46237ec80b38aa2dbaf9a4a610730d2388efdf5,2025-09-22,2026-01-22,0,0%,,0%,"0, 0, 0, 0, 0, 0, 0, 0, 4.2, 58.3, 37.5"
